timestamp,value,prediction_training,prediction,label,warp_distance,threshold_training,distance_threshold,positive_detection
2015-02-27 06:32:53,4,1,0,0,0,0,-1,0
2015-02-27 06:37:53,6,1,0,0,0,0,-1,0
2015-02-27 06:42:53,7,1,0,0,0,0,-1,0
2015-02-27 06:47:53,5,1,0,0,0,0,-1,0
2015-02-27 06:52:53,11,1,0,0,0,0,-1,0
2015-02-27 06:57:53,4,1,0,0,0,0,-1,0
2015-02-27 07:02:53,10,1,0,0,0,0,-1,0
2015-02-27 07:07:53,6,1,0,0,0,0,-1,0
2015-02-27 07:12:53,5,1,0,0,0,0,-1,0
2015-02-27 07:17:53,2,1,0,0,0,0,-1,0
2015-02-27 07:22:53,10,1,0,0,0,0,-1,0
2015-02-27 07:27:53,9,1,0,0,0,0,-1,0
2015-02-27 07:32:53,6,1,0,0,0,0,-1,0
2015-02-27 07:37:53,3,1,0,0,0,0,-1,0
2015-02-27 07:42:53,3,1,0,0,0,0,-1,0
2015-02-27 07:47:53,2,1,0,0,0,0,-1,0
2015-02-27 07:52:53,4,1,0,0,0,0,-1,0
2015-02-27 07:57:53,6,1,0,0,0,0,-1,0
2015-02-27 08:02:53,6,1,0,0,0,0,-1,0
2015-02-27 08:07:53,5,1,0,0,0,0,-1,0
2015-02-27 08:12:53,12,1,0,0,0,0,-1,0
2015-02-27 08:17:53,7,1,0,0,0,0,-1,0
2015-02-27 08:22:53,6,1,0,0,0,0,-1,0
2015-02-27 08:27:53,6,1,0,0,0,0,-1,0
2015-02-27 08:32:53,7,1,0,0,0,0,-1,0
2015-02-27 08:37:53,4,1,0,0,0,0,-1,0
2015-02-27 08:42:53,3,1,0,0,0,0,-1,0
2015-02-27 08:47:53,3,1,0,0,0,0,-1,0
2015-02-27 08:52:53,4,1,0,0,0,0,-1,0
2015-02-27 08:57:53,13,1,0,0,0,0,-1,0
2015-02-27 09:02:53,8,1,0,0,0,0,-1,0
2015-02-27 09:07:53,5,1,0,0,0,0,-1,0
2015-02-27 09:12:53,9,1,0,0,0,0,-1,0
2015-02-27 09:17:53,10,1,0,0,0,0,-1,0
2015-02-27 09:22:53,7,1,0,0,0,0,-1,0
2015-02-27 09:27:53,3,1,0,0,0,0,-1,0
2015-02-27 09:32:53,5,1,0,0,0,0,-1,0
2015-02-27 09:37:53,6,1,0,0,0,0,-1,0
2015-02-27 09:42:53,4,1,0,0,0,0,-1,0
2015-02-27 09:47:53,3,1,0,0,0,0,-1,0
2015-02-27 09:52:53,5,1,0,0,0,0,-1,0
2015-02-27 09:57:53,7,1,0,0,0,0,-1,0
2015-02-27 10:02:53,6,1,0,0,0,0,-1,0
2015-02-27 10:07:53,7,1,0,0,0,0,-1,0
2015-02-27 10:12:53,2,1,0,0,0,0,-1,0
2015-02-27 10:17:53,15,1,0,0,0,0,-1,0
2015-02-27 10:22:53,12,1,0,0,0,0,-1,0
2015-02-27 10:27:53,6,1,0,0,0,0,-1,0
2015-02-27 10:32:53,5,1,0,0,0,0,-1,0
2015-02-27 10:37:53,4,1,0,0,0,0,-1,0
2015-02-27 10:42:53,7,1,0,0,0,0,-1,0
2015-02-27 10:47:53,6,1,0,0,0,0,-1,0
2015-02-27 10:52:53,3,1,0,0,0,0,-1,0
2015-02-27 10:57:53,9,1,0,0,0,0,-1,0
2015-02-27 11:02:53,7,1,0,0,0,0,-1,0
2015-02-27 11:07:53,10,1,0,0,0,0,-1,0
2015-02-27 11:12:53,6,1,0,0,0,0,-1,0
2015-02-27 11:17:53,8,1,0,0,0,0,-1,0
2015-02-27 11:22:53,8,1,0,0,0,0,-1,0
2015-02-27 11:27:53,15,1,0,0,0,0,-1,0
2015-02-27 11:32:53,9,1,0,0,0,0,-1,0
2015-02-27 11:37:53,6,1,0,0,0,0,-1,0
2015-02-27 11:42:53,10,1,0,0,0,0,-1,0
2015-02-27 11:47:53,11,1,0,0,0,0,-1,0
2015-02-27 11:52:53,10,1,0,0,0,0,-1,0
2015-02-27 11:57:53,3,1,0,0,0,0,-1,0
2015-02-27 12:02:53,6,1,0,0,0,0,-1,0
2015-02-27 12:07:53,10,1,0,0,0,0,-1,0
2015-02-27 12:12:53,10,1,0,0,0,0,-1,0
2015-02-27 12:17:53,6,1,0,0,0,0,-1,0
2015-02-27 12:22:53,4,1,0,0,0,0,-1,0
2015-02-27 12:27:53,11,1,0,0,0,0,-1,0
2015-02-27 12:32:53,5,1,0,0,0,0,-1,0
2015-02-27 12:37:53,5,1,0,0,0,0,-1,0
2015-02-27 12:42:53,6,1,0,0,0,0,-1,0
2015-02-27 12:47:53,7,1,0,0,0,0,-1,0
2015-02-27 12:52:53,9,1,0,0,0,0,-1,0
2015-02-27 12:57:53,6,1,0,0,0,0,-1,0
2015-02-27 13:02:53,7,1,0,0,0,0,-1,0
2015-02-27 13:07:53,9,1,0,0,0,0,-1,0
2015-02-27 13:12:53,10,1,0,0,0,0,-1,0
2015-02-27 13:17:53,14,1,0,0,0,0,-1,0
2015-02-27 13:22:53,11,1,0,0,0,0,-1,0
2015-02-27 13:27:53,15,1,0,0,0,0,-1,0
2015-02-27 13:32:53,21,1,0,0,0,0,-1,0
2015-02-27 13:37:53,15,1,0,0,0,0,-1,0
2015-02-27 13:42:53,5,1,0,0,0,0,-1,0
2015-02-27 13:47:53,14,1,0,0,0,0,-1,0
2015-02-27 13:52:53,19,1,0,0,0,0,-1,0
2015-02-27 13:57:53,14,1,0,0,0,0,-1,0
2015-02-27 14:02:53,7,1,0,0,0,0,-1,0
2015-02-27 14:07:53,7,1,0,0,0,0,-1,0
2015-02-27 14:12:53,8,1,0,0,0,0,-1,0
2015-02-27 14:17:53,9,1,0,0,0,0,-1,0
2015-02-27 14:22:53,15,1,0,0,0,0,-1,0
2015-02-27 14:27:53,19,1,0,0,0,0,-1,0
2015-02-27 14:32:53,11,1,0,0,0,0,-1,0
2015-02-27 14:37:53,11,1,0,0,0,0,-1,0
2015-02-27 14:42:53,18,1,0,0,0,0,-1,0
2015-02-27 14:47:53,9,1,0,0,0,0,-1,0
2015-02-27 14:52:53,6,1,0,0,0,0,-1,0
2015-02-27 14:57:53,7,1,0,0,0,0,-1,0
2015-02-27 15:02:53,14,1,0,0,0,0,-1,0
2015-02-27 15:07:53,5,1,0,0,0,0,-1,0
2015-02-27 15:12:53,6,1,0,0,0,0,-1,0
2015-02-27 15:17:53,12,1,0,0,0,0,-1,0
2015-02-27 15:22:53,17,1,0,0,0,0,-1,0
2015-02-27 15:27:53,14,1,0,0,0,0,-1,0
2015-02-27 15:32:53,20,1,0,0,0,0,-1,0
2015-02-27 15:37:53,9,1,0,0,0,0,-1,0
2015-02-27 15:42:53,20,1,0,0,0,0,-1,0
2015-02-27 15:47:53,15,1,0,0,0,0,-1,0
2015-02-27 15:52:53,3,1,0,0,0,0,-1,0
2015-02-27 15:57:53,11,1,0,0,0,0,-1,0
2015-02-27 16:02:53,10,1,0,0,0,0,-1,0
2015-02-27 16:07:53,20,1,0,0,0,0,-1,0
2015-02-27 16:12:53,15,1,0,0,0,0,-1,0
2015-02-27 16:17:53,10,1,0,0,0,0,-1,0
2015-02-27 16:22:53,19,1,0,0,0,0,-1,0
2015-02-27 16:27:53,15,1,0,0,0,0,-1,0
2015-02-27 16:32:53,17,1,0,0,0,0,-1,0
2015-02-27 16:37:53,8,1,0,0,0,0,-1,0
2015-02-27 16:42:53,9,1,0,0,0,0,-1,0
2015-02-27 16:47:53,15,1,0,0,0,0,-1,0
2015-02-27 16:52:53,18,1,0,0,0,0,-1,0
2015-02-27 16:57:53,19,1,0,0,0,0,-1,0
2015-02-27 17:02:53,18,1,0,0,0,0,-1,0
2015-02-27 17:07:53,13,1,0,0,0,0,-1,0
2015-02-27 17:12:53,6,1,0,0,0,0,-1,0
2015-02-27 17:17:53,9,1,0,0,0,0,-1,0
2015-02-27 17:22:53,8,1,0,0,0,0,-1,0
2015-02-27 17:27:53,14,1,0,0,0,0,-1,0
2015-02-27 17:32:53,10,1,0,0,0,0,-1,0
2015-02-27 17:37:53,14,1,0,0,0,0,-1,0
2015-02-27 17:42:53,10,1,0,0,0,0,-1,0
2015-02-27 17:47:53,15,1,0,0,0,0,-1,0
2015-02-27 17:52:53,9,1,0,0,0,0,-1,0
2015-02-27 17:57:53,22,1,0,0,0,0,-1,0
2015-02-27 18:02:53,22,1,0,0,0,0,-1,0
2015-02-27 18:07:53,16,1,0,0,0,0,-1,0
2015-02-27 18:12:53,7,1,0,0,0,0,-1,0
2015-02-27 18:17:53,13,1,0,0,0,0,-1,0
2015-02-27 18:22:53,16,1,0,0,0,0,-1,0
2015-02-27 18:27:53,14,1,0,0,0,0,-1,0
2015-02-27 18:32:53,20,1,0,0,0,0,-1,0
2015-02-27 18:37:53,9,1,0,0,0,0,-1,0
2015-02-27 18:42:53,14,1,0,0,0,0,-1,0
2015-02-27 18:47:53,14,1,0,0,0,0,-1,0
2015-02-27 18:52:53,20,1,0,0,0,0,-1,0
2015-02-27 18:57:53,14,1,0,0,0,0,-1,0
2015-02-27 19:02:53,20,1,0,0,0,0,-1,0
2015-02-27 19:07:53,17,1,0,0,0,0,-1,0
2015-02-27 19:12:53,20,1,0,0,0,0,-1,0
2015-02-27 19:17:53,24,1,0,0,0,0,-1,0
2015-02-27 19:22:53,8,1,0,0,0,0,-1,0
2015-02-27 19:27:53,16,1,0,0,0,0,-1,0
2015-02-27 19:32:53,7,1,0,0,0,0,-1,0
2015-02-27 19:37:53,11,1,0,0,0,0,-1,0
2015-02-27 19:42:53,7,1,0,0,0,0,-1,0
2015-02-27 19:47:53,10,1,0,0,0,0,-1,0
2015-02-27 19:52:53,6,1,0,0,0,0,-1,0
2015-02-27 19:57:53,9,1,0,0,0,0,-1,0
2015-02-27 20:02:53,9,1,0,0,0,0,-1,0
2015-02-27 20:07:53,10,1,0,0,0,0,-1,0
2015-02-27 20:12:53,6,1,0,0,0,0,-1,0
2015-02-27 20:17:53,10,1,0,0,0,0,-1,0
2015-02-27 20:22:53,21,1,0,0,0,0,-1,0
2015-02-27 20:27:53,11,1,0,0,0,0,-1,0
2015-02-27 20:32:53,12,1,0,0,0,0,-1,0
2015-02-27 20:37:53,9,1,0,0,0,0,-1,0
2015-02-27 20:42:53,17,1,0,0,0,0,-1,0
2015-02-27 20:47:53,15,1,0,0,0,0,-1,0
2015-02-27 20:52:53,4,1,0,0,0,0,-1,0
2015-02-27 20:57:53,16,1,0,0,0,0,-1,0
2015-02-27 21:02:53,11,1,0,0,0,0,-1,0
2015-02-27 21:07:53,6,1,0,0,0,0,-1,0
2015-02-27 21:12:53,15,1,0,0,0,0,-1,0
2015-02-27 21:17:53,6,1,0,0,0,0,-1,0
2015-02-27 21:22:53,8,1,0,0,0,0,-1,0
2015-02-27 21:27:53,10,1,0,0,0,0,-1,0
2015-02-27 21:32:53,7,1,0,0,0,0,-1,0
2015-02-27 21:37:53,11,1,0,0,0,0,-1,0
2015-02-27 21:42:53,13,1,0,0,0,0,-1,0
2015-02-27 21:47:53,14,1,0,0,0,0,-1,0
2015-02-27 21:52:53,6,1,0,0,0,0,-1,0
2015-02-27 21:57:53,7,1,0,0,0,0,-1,0
2015-02-27 22:02:53,8,1,0,0,0,0,-1,0
2015-02-27 22:07:53,6,1,0,0,0,0,-1,0
2015-02-27 22:12:53,2,1,0,0,0,0,-1,0
2015-02-27 22:17:53,8,1,0,0,0,0,-1,0
2015-02-27 22:22:53,7,1,0,0,0,0,-1,0
2015-02-27 22:27:53,11,1,0,0,0,0,-1,0
2015-02-27 22:32:53,18,1,0,0,0,0,-1,0
2015-02-27 22:37:53,13,1,0,0,0,0,-1,0
2015-02-27 22:42:53,9,1,0,0,0,0,-1,0
2015-02-27 22:47:53,11,1,0,0,0,0,-1,0
2015-02-27 22:52:53,11,1,0,0,0,0,-1,0
2015-02-27 22:57:53,50,1,0,0,0,0,-1,0
2015-02-27 23:02:53,11,1,0,0,0,0,-1,0
2015-02-27 23:07:53,8,1,0,0,0,0,-1,0
2015-02-27 23:12:53,9,1,0,0,0,0,-1,0
2015-02-27 23:17:53,8,1,0,0,0,0,-1,0
2015-02-27 23:22:53,12,1,0,0,0,0,-1,0
2015-02-27 23:27:53,13,1,0,0,0,0,-1,0
2015-02-27 23:32:53,5,1,0,0,0,0,-1,0
2015-02-27 23:37:53,9,1,0,0,0,0,-1,0
2015-02-27 23:42:53,4,1,0,0,0,0,-1,0
2015-02-27 23:47:53,1,1,0,0,0,0,-1,0
2015-02-27 23:52:53,12,1,0,0,0,0,-1,0
2015-02-27 23:57:53,15,1,0,0,0,0,-1,0
2015-02-28 00:02:53,8,1,0,0,0,0,-1,0
2015-02-28 00:07:53,16,1,0,0,0,0,-1,0
2015-02-28 00:12:53,11,1,0,0,0,0,-1,0
2015-02-28 00:17:53,10,1,0,0,0,0,-1,0
2015-02-28 00:22:53,11,1,0,0,0,0,-1,0
2015-02-28 00:27:53,6,1,0,0,0,0,-1,0
2015-02-28 00:32:53,4,1,0,0,0,0,-1,0
2015-02-28 00:37:53,7,1,0,0,0,0,-1,0
2015-02-28 00:42:53,8,1,0,0,0,0,-1,0
2015-02-28 00:47:53,9,1,0,0,0,0,-1,0
2015-02-28 00:52:53,8,1,0,0,0,0,-1,0
2015-02-28 00:57:53,12,1,0,0,0,0,-1,0
2015-02-28 01:02:53,5,1,0,0,0,0,-1,0
2015-02-28 01:07:53,5,1,0,0,0,0,-1,0
2015-02-28 01:12:53,4,1,0,0,0,0,-1,0
2015-02-28 01:17:53,2,1,0,0,0,0,-1,0
2015-02-28 01:22:53,8,1,0,0,0,0,-1,0
2015-02-28 01:27:53,4,1,0,0,0,0,-1,0
2015-02-28 01:32:53,4,1,0,0,0,0,-1,0
2015-02-28 01:37:53,8,1,0,0,0,0,-1,0
2015-02-28 01:42:53,3,1,0,0,0,0,-1,0
2015-02-28 01:47:53,10,1,0,0,0,0,-1,0
2015-02-28 01:52:53,12,1,0,0,0,0,-1,0
2015-02-28 01:57:53,10,1,0,0,0,0,-1,0
2015-02-28 02:02:53,3,1,0,0,0,0,-1,0
2015-02-28 02:07:53,6,1,0,0,0,0,-1,0
2015-02-28 02:12:53,4,1,0,0,0,0,-1,0
2015-02-28 02:17:53,3,1,0,0,0,0,-1,0
2015-02-28 02:22:53,3,1,0,0,0,0,-1,0
2015-02-28 02:27:53,3,1,0,0,0,0,-1,0
2015-02-28 02:32:53,7,1,0,0,0,0,-1,0
2015-02-28 02:37:53,4,1,0,0,0,0,-1,0
2015-02-28 02:42:53,8,1,0,0,0,0,-1,0
2015-02-28 02:47:53,2,1,0,0,0,0,-1,0
2015-02-28 02:52:53,2,1,0,0,0,0,-1,0
2015-02-28 02:57:53,2,1,0,0,0,0,-1,0
2015-02-28 03:02:53,10,1,0,0,0,0,-1,0
2015-02-28 03:07:53,12,1,0,0,0,0,-1,0
2015-02-28 03:12:53,7,1,0,0,0,0,-1,0
2015-02-28 03:17:53,4,1,0,0,0,0,-1,0
2015-02-28 03:22:53,2,1,0,0,0,0,-1,0
2015-02-28 03:27:53,7,1,0,0,0,0,-1,0
2015-02-28 03:32:53,7,1,0,0,0,0,-1,0
2015-02-28 03:37:53,8,1,0,0,0,0,-1,0
2015-02-28 03:42:53,9,1,0,0,0,0,-1,0
2015-02-28 03:47:53,7,1,0,0,0,0,-1,0
2015-02-28 03:52:53,6,1,0,0,0,0,-1,0
2015-02-28 03:57:53,3,1,0,0,0,0,-1,0
2015-02-28 04:02:53,0,1,0,0,0,0,-1,0
2015-02-28 04:07:53,11,1,0,0,0,0,-1,0
2015-02-28 04:12:53,3,1,0,0,0,0,-1,0
2015-02-28 04:17:53,10,1,0,0,0,0,-1,0
2015-02-28 04:22:53,4,1,0,0,0,0,-1,0
2015-02-28 04:27:53,2,1,0,0,0,0,-1,0
2015-02-28 04:32:53,6,1,0,0,0,0,-1,0
2015-02-28 04:37:53,3,1,0,0,0,0,-1,0
2015-02-28 04:42:53,3,1,0,0,0,0,-1,0
2015-02-28 04:47:53,3,1,0,0,0,0,-1,0
2015-02-28 04:52:53,11,1,0,0,0,0,-1,0
2015-02-28 04:57:53,9,1,0,0,0,0,-1,0
2015-02-28 05:02:53,2,1,0,0,0,0,-1,0
2015-02-28 05:07:53,1,1,0,0,0,0,-1,0
2015-02-28 05:12:53,4,1,0,0,0,0,-1,0
2015-02-28 05:17:53,3,1,0,0,0,0,-1,0
2015-02-28 05:22:53,3,1,0,0,0,0,-1,0
2015-02-28 05:27:53,2,1,0,0,0,0,-1,0
2015-02-28 05:32:53,2,1,0,0,0,0,-1,0
2015-02-28 05:37:53,3,1,0,0,0,0,-1,0
2015-02-28 05:42:53,5,1,0,0,0,0,-1,0
2015-02-28 05:47:53,3,1,0,0,0,0,-1,0
2015-02-28 05:52:53,2,1,0,0,0,0,-1,0
2015-02-28 05:57:53,4,1,0,0,0,0,-1,0
2015-02-28 06:02:53,2,1,0,0,0,0,-1,0
2015-02-28 06:07:53,2,1,0,0,0,0,-1,0
2015-02-28 06:12:53,4,1,0,0,0,0,-1,0
2015-02-28 06:17:53,2,1,0,0,0,0,-1,0
2015-02-28 06:22:53,3,1,0,0,0,0,-1,0
2015-02-28 06:27:53,5,1,0,0,0,0,-1,0
2015-02-28 06:32:53,2,1,0,0,0,0,-1,0
2015-02-28 06:37:53,1,1,0,0,0,0,-1,0
2015-02-28 06:42:53,1,0,2.68923,0,0,1,-1,0
2015-02-28 06:47:53,2,0,8.52545,0,0,1,-1,0
2015-02-28 06:52:53,7,0,8.29699,0,0,1,-1,0
2015-02-28 06:57:53,1,0,10.5888,0,0,1,-1,0
2015-02-28 07:02:53,1,0,5.49206,0,28.7591,1,-1,0
2015-02-28 07:07:53,0,0,10.5961,0,48.7924,1,-1,0
2015-02-28 07:12:53,1,0,6.14033,0,49.3466,1,-1,0
2015-02-28 07:17:53,4,0,8.67363,0,37.8088,1,-1,0
2015-02-28 07:22:53,6,0,8.92432,0,45.1712,1,-1,0
2015-02-28 07:27:53,2,0,10.6303,0,18.6926,1,-1,0
2015-02-28 07:32:53,3,0,5.92136,0,29.4998,1,-1,0
2015-02-28 07:37:53,2,0,10.2808,0,54.671,1,-1,0
2015-02-28 07:42:53,1,0,7.96992,0,40.0145,1,-1,0
2015-02-28 07:47:53,0,0,7.92132,0,38.2957,1,-1,0
2015-02-28 07:52:53,3,0,7.64796,0,48.7037,1,-1,0
2015-02-28 07:57:53,4,0,10.8144,0,37.4004,1,-1,0
2015-02-28 08:02:53,3,0,6.56456,0,29.8743,1,-1,0
2015-02-28 08:07:53,9,0,8.58839,0,34.6001,1,-1,0
2015-02-28 08:12:53,10,0,13.5739,0,30.3177,1,-1,0
2015-02-28 08:17:53,8,0,9.74088,0,15.7034,1,-1,0
2015-02-28 08:22:53,4,0,9.52124,0,21.5908,1,-1,0
2015-02-28 08:27:53,2,0,8.4301,0,38.082,1,-1,0
2015-02-28 08:32:53,5,0,9.49932,0,35.6952,1,-1,0
2015-02-28 08:37:53,4,0,9.63509,0,34.9232,1,-1,0
2015-02-28 08:42:53,4,0,8.28619,0,26.924,1,-1,0
2015-02-28 08:47:53,7,0,9.92174,0,29.0543,1,-1,0
2015-02-28 08:52:53,4,0,9.59172,0,25.3994,1,-1,0
2015-02-28 08:57:53,5,0,7.25426,0,20.2938,1,-1,0
2015-02-28 09:02:53,2,0,10.1545,0,32.2029,1,-1,0
2015-02-28 09:07:53,5,0,7.72176,0,29.4382,1,-1,0
2015-02-28 09:12:53,7,0,10.7011,0,26.7935,1,-1,0
2015-02-28 09:17:53,5,0,8.51375,0,22.6081,1,-1,0
2015-02-28 09:22:53,1,0,8.89373,0,21.0812,1,-1,0
2015-02-28 09:27:53,3,0,7.33006,0,38.0245,1,-1,0
2015-02-28 09:32:53,2,0,9.50271,0,39.6588,1,-1,0
2015-02-28 09:37:53,2,0,7.34002,0,35.844,1,-1,0
2015-02-28 09:42:53,5,0,7.69257,0,33.3356,1,-1,0
2015-02-28 09:47:53,4,0,8.91239,0,30.8807,1,-1,0
2015-02-28 09:52:53,1,0,7.47211,0,22.3176,1,-1,0
2015-02-28 09:57:53,9,0,6.96776,0,35.1409,1,-1,0
2015-02-28 10:02:53,3,0,12.9193,0,34.0566,1,-1,0
2015-02-28 10:07:53,2,0,4.97831,0,23.4385,1,-1,0
2015-02-28 10:12:53,6,0,9.71678,0,38.7518,1,-1,0
2015-02-28 10:17:53,2,0,9.97801,0,42.5182,1,-1,0
2015-02-28 10:22:53,9,0,6.30893,0,15.4333,1,-1,0
2015-02-28 10:27:53,6,0,11.1155,0,16.3285,1,-1,0
2015-02-28 10:32:53,8,0,7.63785,0,6.66737,1,-1,0
2015-02-28 10:37:53,8,0,11.628,0,7.51991,1,-1,0
2015-02-28 10:42:53,6,0,7.83132,0,15.6988,1,-1,0
2015-02-28 10:47:53,11,0,9.60918,0,10.7869,1,-1,0
2015-02-28 10:52:53,8,0,10.8726,0,10.382,1,-1,0
2015-02-28 10:57:53,8,0,8.3624,0,9.10908,1,-1,0
2015-02-28 11:02:53,1,0,10.5923,0,16.6383,1,-1,0
2015-02-28 11:07:53,1,0,6.56294,0,32.9348,1,-1,0
2015-02-28 11:12:53,7,0,9.86672,0,40.4331,1,-1,0
2015-02-28 11:17:53,6,0,9.16574,0,33.5179,1,-1,0
